Name,Date,Country
Zachary Little,2025-01-30,Albania
Sheri Brown,2024-11-28,Malaysia
Jesse Quinn,2025-01-08,Ethiopia
Kenneth Rodriguez,2025-01-14,Reunion
Chris Munoz,2025-01-11,Congo
Aaron Mendoza,2025-02-05,Vanuatu
Jose Garcia,2025-01-21,Qatar
Julia Rodriguez,2025-02-18,Switzerland
Tracy Orozco,2025-02-12,Belarus
Carla Stokes,2025-01-19,Armenia
Valerie Munoz,2024-12-24,Afghanistan
Alexandra Sandoval,2025-01-24,Kyrgyz Republic
Jordan Walker,2025-02-15,Bulgaria
Jose Copeland,2025-01-31,Uzbekistan
Kelsey Smith,2024-12-22,Bermuda
David Spencer,2025-01-07,Nigeria
Dennis Thomas,2024-11-28,Sierra Leone
Jillian Morrow,2024-12-12,United Arab Emirates
Jennifer Rivera,2024-12-04,Syrian Arab Republic
Jennifer Garcia,2024-12-30,Angola
Tanya Thomas,2025-01-31,Norfolk Island
Christopher Gonzales,2025-02-01,Reunion
Brian Sampson,2024-11-23,Colombia
Emily Clayton,2025-01-10,Turkmenistan
Martin Marquez,2024-12-05,Venezuela
Ruth Smith,2024-12-09,Qatar
Matthew Carlson,2024-12-08,Czech Republic
Danny Wolfe,2024-11-24,Suriname
Jennifer Nelson,2025-02-19,Anguilla
Regina Kennedy,2025-01-07,Maldives
Jennifer Aguirre,2025-01-05,Lebanon
Michael Miller,2025-02-04,Iraq
Jennifer Lopez,2025-01-25,Monaco
Jeanne Jensen,2025-02-03,Georgia
Christopher Pratt,2025-01-24,Western Sahara
Nancy Rose,2025-01-23,Nepal
Allison Rush,2025-02-13,United Kingdom
Colleen Miller,2024-12-26,Sudan
James Sawyer,2024-11-24,Latvia
Jason Ryan,2024-11-29,Dominican Republic
Erica Gill,2025-01-02,Trinidad and Tobago
Cody Richards,2025-01-28,Isle of Man
Mary Mills,2025-01-19,Costa Rica
Jacqueline Downs,2025-01-03,Bulgaria
Tammie Matthews,2025-01-18,Saint Lucia
Emily Gentry,2025-01-25,Sweden
Veronica Bowen,2024-12-12,Puerto Rico
Cassidy Armstrong,2024-12-28,Bangladesh
Anthony Kerr,2024-12-10,Sudan
Travis Carter,2025-01-18,Brazil
Jose Lynch,2024-11-23,Colombia
Cynthia Nichols,2024-12-29,Bosnia and Herzegovina
Mary Richards,2025-02-15,Oman
Melissa Carr,2025-01-03,Turkmenistan
Luis Kent,2025-01-15,Guatemala
Ms. Katherine Yates,2025-02-19,Italy
Eric Cobb,2025-02-05,Taiwan
James Burgess,2025-01-21,Holy See (Vatican City State)
Benjamin Mason,2025-01-17,Guinea
Nicole Larson,2024-12-26,Liberia
Adam Reyes,2025-02-10,Guatemala
Tyler Robinson,2025-01-12,Saint Vincent and the Grenadines
Shawn Vance,2024-11-23,Russian Federation
Ann Edwards DVM,2024-11-22,Turkmenistan
David Robbins,2025-02-03,Namibia
Timothy Drake,2024-12-04,United States Virgin Islands
Karen Howell,2024-12-10,Iran
Benjamin Chung Jr.,2025-01-13,Zambia
Harry Baird,2024-12-24,French Guiana
Katelyn Freeman,2024-12-19,French Polynesia
Brandi Ochoa,2025-01-30,Algeria
John Ford,2025-01-14,Brunei Darussalam
Amy Shaw,2025-01-31,North Macedonia
Jennifer Chang,2024-12-02,Gambia
Alexandra Melendez,2024-12-21,Myanmar
Antonio Jackson,2025-01-03,Venezuela
Angela Mora,2024-11-28,Greenland
David Hall,2024-11-29,Benin
Matthew Schmitt,2025-02-13,Qatar
Isaiah Hayes,2025-02-07,Yemen
Brian Chen,2024-12-22,Sudan
Blake Salinas,2024-12-18,Kuwait
Sarah Owens,2025-01-14,Macao
Maurice Torres,2024-12-07,Suriname
Cynthia Lee,2024-12-23,Costa Rica
Joseph Freeman,2024-12-26,Armenia
Cindy Smith,2024-12-21,Guadeloupe
Rebecca Farmer,2025-01-19,Hong Kong
Renee Howard,2025-02-08,United Kingdom
Teresa Wall,2025-02-05,Slovakia (Slovak Republic)
Dalton Scott,2024-12-16,Djibouti
Johnny Harrington,2025-01-24,Finland
Emily Hernandez MD,2025-02-01,Benin
Michael Wiggins,2024-12-16,Marshall Islands
Claire Black,2025-01-16,Italy
Bruce Miller,2025-01-18,Australia
Katherine Garcia,2024-12-19,Pitcairn Islands
Frank Kelly,2025-02-18,Malawi
Emily Peterson,2025-01-01,Brazil
Lauren Watkins,2025-02-10,Korea
Taylor Parks,2025-02-11,American Samoa
Daniel Wilkerson,2024-12-16,Poland
Eric Hubbard,2025-01-04,Kiribati
Kristin Campbell,2025-01-23,Malaysia
Caitlin Lee,2025-01-10,Portugal
Justin Mitchell,2025-01-25,Eritrea
Alan Reese,2025-02-11,Barbados
Catherine Hall,2025-02-16,Niue
Danielle Schmidt,2025-02-19,South Georgia and the South Sandwich Islands
Sarah Pierce,2024-11-26,Kenya
Kevin Brown,2025-02-15,Sudan
Katherine Lane,2025-01-01,British Indian Ocean Territory (Chagos Archipelago)
Kristie Taylor,2025-02-19,Kenya
Kyle Roy,2025-01-27,Western Sahara
Timothy Peters,2024-12-23,Spain
Richard Mcgee,2025-01-25,Egypt
Lauren Blevins,2024-12-28,Bermuda
Kimberly Cuevas,2024-12-06,Isle of Man
Aaron Brown,2025-01-05,Malta
Jason Johnson,2025-01-26,Svalbard & Jan Mayen Islands
Katelyn Johnson,2025-02-05,Rwanda
Dr. James Lopez,2024-12-18,Tunisia
Jessica Roberts,2024-12-12,Oman
Jorge Roberts,2025-01-10,Bosnia and Herzegovina
Marcus Sullivan,2025-01-08,Papua New Guinea
Michael Dominguez,2025-02-18,Armenia
Nathan Brown,2025-02-02,China
Linda Moss,2025-02-07,Hong Kong
Claudia Jackson,2024-12-21,Equatorial Guinea
Michael Clark,2024-12-12,Andorra
Gary Thomas,2025-01-15,Mongolia
Antonio Monroe,2024-12-26,Sweden
Elizabeth Smith,2024-12-27,Indonesia
Stephanie Hughes,2024-12-02,British Virgin Islands
Larry Moore,2024-12-27,Jersey
Tammy Foley,2025-01-22,Honduras
Tammy Johnson,2025-02-17,Croatia
Justin Barnett,2025-01-04,Gambia
Samantha Long,2025-01-01,Korea
Heather Finley,2025-02-02,Ukraine
Scott Olson,2025-01-12,United Kingdom
William Anderson,2025-01-25,South Georgia and the South Sandwich Islands
Peter Klein,2025-02-13,Niger
Jessica Roberts,2024-12-21,Heard Island and McDonald Islands
Eric Carson,2024-12-07,Oman
Samantha Jacobson,2024-12-15,United States of America
Phillip Garner,2024-12-31,Moldova
Michelle Campbell,2025-02-05,Bouvet Island (Bouvetoya)
Jessica Johnson,2025-02-12,Tajikistan
Jasmine Singleton,2025-02-12,Gabon
Nathan Garcia,2025-02-19,Kiribati
Joseph Potter,2025-01-16,Poland
Steven Henderson,2025-02-06,United Kingdom
Gregory Williams,2024-12-29,Norfolk Island
Brandon Graham,2024-12-08,Jamaica
Evan Brown,2025-01-14,Tanzania
David Dixon,2025-01-21,Ghana
Stephanie Cisneros,2025-01-12,Anguilla
Madison Bailey,2025-02-07,Finland
Michael Turner,2024-12-10,Macao
Cody Choi,2025-01-04,Chile
Vanessa Baker,2025-01-06,Montenegro
Cassandra Powers,2024-11-23,Georgia
David Lopez,2024-11-22,Georgia
Herbert Hale,2025-01-11,Malawi
Troy Simpson,2024-12-28,Morocco
Justin Johnson,2025-01-25,Mauritania
Karen Walker,2025-01-11,Finland
Carl Powell,2025-01-18,Hungary
Jeffrey Rodriguez,2024-12-22,Serbia
Amanda Hughes,2025-02-04,United States of America
Joseph Bennett,2025-01-21,Palau
Kevin Watson,2025-01-20,Estonia
Steven Duran,2025-01-16,Puerto Rico
Thomas Oliver,2025-01-09,Uzbekistan
Rhonda Mitchell,2025-01-23,Saint Kitts and Nevis
Sandra Stewart,2025-01-25,Singapore
John Murray,2025-02-04,Christmas Island
Dorothy Robinson,2025-01-25,Falkland Islands (Malvinas)
Mary Mitchell,2024-12-21,Saint Lucia
James Johnson,2024-12-18,United States Minor Outlying Islands
Andrew Strong,2025-01-07,Christmas Island
Joseph Sanchez,2025-02-09,Kyrgyz Republic
Amy Church,2024-12-12,Canada
Michael Abbott,2025-02-13,Belize
Mikayla Collins,2025-02-09,Norway
Brenda Harris,2025-01-05,Malaysia
Charles Rice,2025-01-02,Tuvalu
Katrina Dean,2025-01-08,Norway
Joseph Watkins,2025-01-03,Montenegro
Tommy Bridges,2025-01-15,Malawi
Deborah Williams,2024-12-14,Jersey
Savannah Trevino,2024-11-29,Gambia
Patrick Torres,2025-02-13,Kiribati
Todd Hernandez,2024-12-06,Congo
Courtney Knight,2024-12-09,New Zealand
Robert Carr,2025-01-05,Hungary
Maria Crawford,2024-12-10,Korea
Erik Barron,2025-02-02,Ethiopia
Brian Miller,2024-12-24,Peru
Justin Murray,2025-02-03,Palau
Donald Maldonado,2025-01-23,Moldova
Mary Grimes,2025-01-26,France
Elizabeth Montgomery,2024-11-25,Singapore
Daniel Hensley,2025-01-30,Spain
Mr. Aaron King MD,2025-01-23,Sao Tome and Principe
Brandi Collins,2024-11-24,Georgia
Kathryn Mercer,2024-12-02,Liechtenstein
Sherry Tate,2025-01-23,Yemen
Marie Fuller,2024-12-01,United Kingdom
Lisa Anderson,2024-12-08,Seychelles
Derek Mosley,2024-12-10,Uganda
Charles Clark,2025-02-08,Cameroon
Maria White,2025-01-01,New Zealand
Andrew Mcmillan,2025-01-14,Equatorial Guinea
Linda Boyer,2024-12-27,Falkland Islands (Malvinas)
Robert Singleton,2025-01-08,Austria
Tina Davis,2024-12-09,Peru
Brandon Lutz,2024-12-25,Malawi
Lori Hurst,2025-01-22,France
Jason Summers,2025-01-08,British Indian Ocean Territory (Chagos Archipelago)
Joyce Hall,2024-12-08,Gambia
Patrick Gamble,2025-01-04,Cameroon
Henry Joseph,2025-02-14,Congo
Randy Velasquez,2024-12-26,Netherlands
Chad Erickson,2025-01-22,Slovenia
Laurie Lane,2025-01-25,Puerto Rico
Elizabeth Price,2024-11-29,Bahrain
Emily Smith,2024-11-24,Lithuania
Robert Mccormick,2024-12-28,Switzerland
Angelica Garcia,2024-11-24,Belize
Cindy Anderson,2024-12-03,Marshall Islands
Katherine Burton,2025-01-14,Sweden
Patrick Lopez,2025-02-05,Monaco
Alexandra Johnson,2025-02-11,Canada
Juan Miller Jr.,2025-01-01,Maldives
Kimberly Ray,2024-12-02,Moldova
Michelle Torres,2025-01-15,Azerbaijan
Vickie Zamora,2024-12-13,Haiti
Joshua Murray,2025-01-15,American Samoa
Jasmin Robinson,2024-12-11,New Zealand
David Johnson,2024-12-23,Gabon
Laura Rodriguez,2024-11-26,Martinique
Jessica Stewart,2024-12-22,Israel
Adam White,2025-02-02,Jordan
Laura Romero,2024-12-12,Barbados
Katelyn Wilson,2024-12-25,Paraguay
Brendan Mccullough,2025-01-16,Saint Pierre and Miquelon
John Reed,2024-12-19,Pitcairn Islands
Danny Keller,2025-01-17,Svalbard & Jan Mayen Islands
Mrs. Theresa Lara,2024-12-20,United States Virgin Islands
Antonio Smith,2025-01-26,France
Jason Davis,2024-12-29,Congo
Caleb Preston,2025-02-18,Guernsey
Daniel Wall,2024-12-25,Belgium
Kimberly Galloway,2024-12-16,Sweden
Mark Lawson,2025-01-02,Holy See (Vatican City State)
Penny Lee,2025-02-15,Netherlands
Henry Clark,2025-02-05,Costa Rica
Brian Miller,2025-01-03,Japan
Roberto Martinez,2024-12-29,Brazil
Marc Moran,2025-01-23,Austria
Carolyn Foster,2025-01-29,United Arab Emirates
Jeffrey Morgan,2025-01-02,Armenia
Pamela Andrews,2024-12-02,Palestinian Territory
Kelly Richardson,2024-12-12,Martinique
Christopher Lynch II,2025-01-29,Costa Rica
Laura Jones,2025-01-15,Macao
James Ingram,2024-12-06,Montserrat
Sophia Bowers,2025-01-02,China
Tonya Ferguson,2025-02-12,Guyana
Charles Gordon,2025-02-02,Somalia
Shirley Martinez,2025-01-14,Chile
David Glover,2024-12-12,Eritrea
Timothy Diaz,2025-01-05,Kazakhstan
Mr. Jeremy Mitchell,2024-12-03,Ghana
Deanna Miller,2024-12-09,Vietnam
Debra Armstrong,2024-12-17,New Zealand
Judith Grimes,2024-12-08,Antarctica (the territory South of 60 deg S)
Melissa Martinez,2025-02-01,Spain
Cynthia Gilbert,2024-12-30,Mauritania
John Lewis,2025-01-01,Greece
Linda Huerta,2024-12-27,Barbados
Michael Sullivan,2024-12-15,Saint Barthelemy
Eric Weber,2025-01-13,Mexico
Tyler King,2025-01-17,Trinidad and Tobago
Tommy Benjamin,2024-12-03,United States Virgin Islands
Kevin Carter,2025-02-14,Kenya
Matthew Wade,2025-02-05,Slovenia
Adam Mendoza,2024-12-20,Philippines
Todd Bauer,2025-01-10,Aruba
Linda Ayers,2025-02-05,South Georgia and the South Sandwich Islands
Michele Gibson,2024-12-07,Rwanda
Dr. Scott Hansen DVM,2025-01-30,Chad
Kenneth Jackson,2024-12-31,Trinidad and Tobago
Stephanie Soto,2025-01-17,Antigua and Barbuda
Brenda Hunt,2025-01-18,Bosnia and Herzegovina
Andrew Stone,2024-12-09,Korea
Alexis Dominguez,2025-01-28,Benin
Kelly Hoffman PhD,2025-01-15,Netherlands
David Le,2024-12-22,Korea
Todd Greer,2025-02-07,French Guiana
Carlos Yu,2024-12-19,Burundi
Debbie Miller,2025-01-02,Estonia
Janice Steele,2025-01-24,Brunei Darussalam
Linda Robinson,2025-02-07,Solomon Islands
Sarah Jefferson,2025-01-29,Botswana
Mike Scott,2024-12-24,Puerto Rico
Carlos Lamb,2025-02-03,Namibia
Donald Turner,2024-12-16,Mexico
Dean Moore,2024-12-24,Liechtenstein
Abigail Macdonald,2025-02-14,Jersey
Manuel Guerrero,2025-01-27,Holy See (Vatican City State)
Tina Morgan,2024-12-04,Guinea-Bissau
Mark Williams,2024-11-22,Wallis and Futuna
Jennifer Pierce,2025-01-22,Bouvet Island (Bouvetoya)
Roberta Chapman,2025-01-25,French Guiana
Anna Phillips,2024-12-20,Libyan Arab Jamahiriya
Lindsay Adams,2025-01-09,Cayman Islands
Anthony Ramsey,2025-01-31,Nigeria
Karen Smith,2024-12-20,Togo
Karla Soto,2024-12-29,Turkey
Ashley Rose,2025-02-10,Thailand
Erin Sullivan,2025-02-08,Timor-Leste
Melissa Rivera,2025-01-06,Bosnia and Herzegovina
Miguel Grimes,2025-01-19,Cape Verde
Michael Scott,2025-01-16,Albania
Emma Crawford MD,2024-12-01,Mongolia
Laura Olson,2025-01-15,French Polynesia
Kenneth Hood,2025-01-18,Fiji
Laura Gardner,2025-01-30,Uruguay
Hannah Williams,2024-12-30,Samoa
Michael Bryant,2024-11-23,Maldives
Jessica Silva,2025-01-09,Gabon
Gregory Forbes,2025-01-19,Andorra
Craig Lewis,2025-02-06,Zambia
Daniel Roberts,2025-02-01,Trinidad and Tobago
Mike Cook,2024-11-26,Japan
Elizabeth Silva,2025-02-17,Pakistan
James Fox,2025-02-19,Ecuador
Joshua Ayala,2025-02-18,Kyrgyz Republic
Christopher Powell,2025-02-09,Botswana
Amy Perry,2025-01-01,Bosnia and Herzegovina
John Ryan,2024-12-27,Malta
James Hendrix,2024-11-22,Saint Martin
Tamara Reyes,2024-12-29,Nauru
Matthew Noble,2025-01-14,Swaziland
Dr. Melinda Dunn,2025-02-05,Comoros
Kathleen Mccullough,2025-01-28,Brazil
Darren Lowe,2024-12-02,Namibia
Dennis Price,2025-01-28,Mongolia
Beth Davidson,2025-01-29,Singapore
Jason Robertson,2024-11-22,Christmas Island
Debra Castro,2025-02-06,Guatemala
Scott Solomon,2025-02-18,Indonesia
Gwendolyn Martinez,2025-01-01,Saint Helena
Connor Berry,2024-12-22,Solomon Islands
Jo Garcia,2025-02-05,Togo
George Lawrence,2024-12-22,Central African Republic
Robert Turner,2025-02-09,Malta
Judith Dalton,2025-02-03,Saint Vincent and the Grenadines
Kelly Dunn,2025-02-08,Lesotho
Taylor Weeks,2025-02-15,Romania
Eddie Carroll,2024-12-08,Mali
Brandon Smith,2025-02-17,Belgium
Susan Garcia,2025-02-08,Western Sahara
Ashley Mooney,2024-11-27,Iceland
Michael Duran,2024-12-26,Oman
Danny Vasquez,2024-12-04,Bosnia and Herzegovina
Andrew Boyd,2024-12-14,Egypt
Nancy Dunn,2024-12-03,Tunisia
Paige Baird,2025-02-14,Romania
Taylor Mayer,2024-12-31,Barbados
Scott Williams,2024-12-25,Taiwan
Lindsey Hansen,2025-02-04,Antarctica (the territory South of 60 deg S)
Bianca Stanley,2024-12-31,Martinique
Christopher Shaffer,2024-12-15,Costa Rica
Amy Sloan,2025-01-03,Malta
Nicholas Shepard,2024-11-25,Gabon
Justin Holland,2024-12-29,Senegal
Craig Thompson,2025-02-12,Monaco
Kelsey Olson,2025-01-22,Gambia
William Bean,2025-01-09,Thailand
Angel Taylor,2024-12-29,Saint Martin
Mrs. Kayla Fitzgerald,2025-01-11,Bulgaria
Brenda Terry,2024-12-12,South Georgia and the South Sandwich Islands
Patrick Wells,2025-01-14,Korea
Christina Bell,2025-01-18,Serbia
Ronald Larson,2025-02-11,Malta
John Ramirez,2025-02-14,Malaysia
Hannah Campbell,2025-01-23,Nepal
Robert Miller,2025-02-16,Palau
William Pope,2024-12-06,Cocos (Keeling) Islands
Cassandra Abbott,2024-12-04,Spain
Mark Hernandez,2024-11-26,Netherlands
Rachel Grant,2024-12-23,United States of America
Jeffrey Andrade,2024-12-01,Burkina Faso
Sean Hopkins,2025-01-05,Pitcairn Islands
Larry Peters,2024-12-30,Cocos (Keeling) Islands
Rebecca Ford,2024-12-15,Djibouti
Gina Robinson,2024-11-22,South Africa
Robert Pace,2025-02-18,Liechtenstein
Ashley Lewis,2024-12-23,Denmark
Mrs. Karen Reid,2025-01-10,Mali
Robert Gates,2024-11-23,Singapore
Beth Lawson,2024-11-27,Faroe Islands
Cynthia Colon,2025-01-07,Senegal
Rebecca Brown,2024-12-24,Japan
Carmen Wood,2025-01-05,Papua New Guinea
Matthew Franklin,2025-02-16,Korea
James Woodard,2025-02-14,Cyprus
David Hebert,2025-01-19,Argentina
Caleb Garcia,2025-02-16,Montenegro
Noah Maxwell,2025-01-31,Samoa
Theodore Peterson,2024-12-13,Lesotho
Gwendolyn Wells,2025-01-27,Netherlands Antilles
Rebecca Schneider,2024-12-17,Myanmar
Gregory Sanford,2025-01-14,Sri Lanka
Andrea Wong,2025-02-11,Netherlands
Caitlin Walsh,2025-01-28,Somalia
Kathy Kim,2024-12-17,Guam
Mary Quinn,2025-01-19,New Zealand
Deborah Patrick,2025-02-13,Norfolk Island
Charles Schaefer,2025-01-13,Norway
Jesus Webb,2025-02-02,Rwanda
Rebecca Wood,2024-12-16,Samoa
Cathy Guerrero,2024-12-22,Holy See (Vatican City State)
Anthony Young IV,2025-01-19,Iraq
Allen Holmes,2025-01-30,Syrian Arab Republic
Melanie Morgan,2024-12-10,Madagascar
Jessica Smith,2024-11-28,Botswana
Mr. Ryan Miller,2025-01-08,Antarctica (the territory South of 60 deg S)
Joanna Swanson,2024-12-16,Nicaragua
Peter Thomas,2024-12-16,Bosnia and Herzegovina
John Thompson,2025-01-22,Falkland Islands (Malvinas)
Cynthia Collins,2025-01-02,Saint Vincent and the Grenadines
Zachary Knight,2025-02-03,Guatemala
Helen Frey,2024-12-26,Cote d'Ivoire
Darrell Miller,2024-11-29,Qatar
Donald Campbell,2025-01-28,Malawi
Zachary Gray,2024-12-10,Kuwait
Troy Howard,2025-01-26,Poland
Tara Gallagher,2024-12-10,Turkmenistan
Ethan Esparza,2025-01-08,Belize
Cindy Bean,2025-01-11,Poland
Stephanie Thomas,2024-12-02,Haiti
Christopher Johnson,2025-02-04,Mongolia
Kimberly Young,2025-01-09,Japan
Laura Simmons,2025-02-08,Holy See (Vatican City State)
Ashley Taylor,2025-01-04,Bouvet Island (Bouvetoya)
Miranda Dickerson,2025-02-05,Norway
Kayla Gilbert,2024-12-22,New Caledonia
Amy Rodriguez,2024-11-29,Bahrain
Danielle Mills,2025-02-13,Ethiopia
Sue Johnson,2025-02-03,Saudi Arabia
Jeffrey Atkins,2025-01-15,Sri Lanka
Rachel Valenzuela,2024-12-25,Cuba
Dana Boyd,2025-01-05,Morocco
Joann Blair,2024-12-17,Sierra Leone
Gregory Delgado,2025-01-25,Netherlands
Anthony Price,2025-02-11,Qatar
Edward Leon,2025-01-05,Benin
William Graves,2025-02-12,Hong Kong
Robin Olson,2025-01-09,Jordan
Jessica Dixon,2025-01-18,Bouvet Island (Bouvetoya)
Jacob Barrett,2024-12-07,Botswana
Sergio Steele,2025-02-02,Libyan Arab Jamahiriya
Jason Ferrell,2025-01-17,Norfolk Island
Tamara Wiley,2024-12-20,Indonesia
Hector Matthews,2025-01-03,Grenada
Leah Williams,2025-02-17,Chad
Helen Garcia,2025-01-12,Tokelau
Diane Green,2025-01-08,Christmas Island
Rebecca Luna,2025-01-05,Belarus
Nicholas Christian,2024-12-27,China
Walter Tanner,2024-12-21,Antarctica (the territory South of 60 deg S)
Jacob Pennington,2024-12-04,Northern Mariana Islands
Kathryn Walsh MD,2024-12-15,Canada
Jessica Scott,2025-02-03,Nepal
Jose Huang MD,2024-11-22,Burundi
Chad Alvarez,2024-11-24,Macao
Jacqueline Ferguson,2025-01-11,Venezuela
Jason Campbell,2025-01-17,Guatemala
Sarah West,2024-12-29,Gabon
Kelli Taylor,2025-01-27,Nicaragua
Amanda Moore,2025-01-16,Puerto Rico
Christopher Moore,2025-02-10,Bosnia and Herzegovina
Patrick Sexton,2025-02-17,Nigeria
Lori Salazar,2025-01-20,Burundi
Joseph Patterson,2024-12-02,Saint Vincent and the Grenadines
Taylor Bender,2024-12-04,Micronesia
Raymond Osborne,2024-12-21,Bulgaria
Joseph Vance,2024-12-19,South Africa
Eric Kelley,2024-12-27,Jordan
Margaret Sanchez,2025-01-29,Anguilla
Norma Cardenas,2025-01-28,Cameroon
Alexandra Thomas,2024-12-14,Honduras
Timothy Gordon,2024-11-29,Sierra Leone
Ethan Wilson,2025-01-20,Sudan
James Cruz,2025-02-08,Guadeloupe
Ricky Lang,2025-02-08,Hungary
Nicholas Hutchinson,2024-12-20,France
Kimberly Flores,2025-02-03,Sierra Leone
John Wilson,2024-12-30,Kyrgyz Republic
Tyler Frederick,2024-12-16,Brunei Darussalam
Amanda Nguyen,2025-01-29,Dominica
Philip Williams,2025-02-08,Solomon Islands
Diana Henry,2025-01-01,Thailand
Dylan Mckenzie,2024-12-20,Bhutan
Paul Allen,2025-01-21,Tajikistan
Leslie Jones,2024-12-25,Armenia
Maria Hudson,2025-01-06,Martinique
Samantha Cruz,2025-02-09,Peru
Andrew Evans,2025-02-04,Belize
Bradley Ray,2025-02-07,Hungary
Larry Cunningham,2025-01-07,United States Minor Outlying Islands
Linda Cox,2025-01-04,Albania
Michelle Anderson,2024-12-13,Venezuela
Crystal Banks,2025-01-11,Jordan
Heather Baker,2025-02-02,Trinidad and Tobago
Jamie Fitzgerald,2024-12-03,Bermuda
Sarah Davis,2025-01-08,French Southern Territories
Judy Lucero,2025-01-21,Saint Pierre and Miquelon
Amanda Jackson,2024-11-23,Anguilla
Robin Moore,2025-01-29,Belarus
Angela Woods,2024-12-20,Ukraine
Kara Sosa,2024-12-15,Micronesia
Lisa Ware,2025-01-23,Bosnia and Herzegovina
Richard Collins,2025-01-30,Sri Lanka
Michael Pearson,2025-01-19,Algeria
Margaret Davis,2024-12-07,Saint Helena
Richard Weaver,2024-12-28,Azerbaijan
Victoria Allen,2025-02-13,Iran
Joel Sullivan,2025-01-14,Sri Lanka
James Park,2025-02-06,Vietnam
Steven Brown,2025-02-16,Kiribati
Jimmy Crawford,2025-02-04,Gibraltar
Janet Castillo,2025-01-16,Palau
Gregory White,2025-02-10,Nepal
Derek Colon,2024-11-22,Eritrea
Neil Mcdonald,2024-12-27,French Southern Territories
Edward Tran,2025-01-14,Costa Rica
Jack Foley,2024-12-07,Bhutan
Shelby Perkins,2024-12-25,Afghanistan
Kevin Rose,2024-11-29,Antarctica (the territory South of 60 deg S)
Shawn Becker PhD,2024-12-13,Italy
Paul Wilson,2025-02-18,Canada
Brenda Atkinson,2025-02-10,Palestinian Territory
William Miller,2024-12-04,Micronesia
Gerald Aguilar,2024-12-05,Seychelles
Sarah Ross,2024-12-19,Angola
Holly Morris,2024-11-26,France
Robert Maldonado,2025-01-22,Panama
Penny Greene,2025-02-10,Libyan Arab Jamahiriya
Dominique Diaz,2025-01-05,Jersey
Dustin Ryan,2024-12-21,Uruguay
Cynthia Lee,2024-12-07,Australia
Jonathan Hernandez,2024-11-23,Iraq
Thomas Green,2025-01-14,Saint Lucia
Emily Kelley,2025-01-15,Australia
Alejandro Santos,2024-12-15,India
Cindy Evans,2024-12-24,Sierra Leone
John Lee,2025-02-09,Vietnam
Stephanie Howard,2024-12-07,Armenia
Peggy Williams,2025-01-09,Cape Verde
Leah Walker,2024-12-31,Vietnam
Heather Vargas,2025-01-23,Ecuador
Brandi Bowman,2025-01-06,Ghana
Eric Rodriguez,2024-12-08,Macao
Taylor Rogers,2024-12-21,Macao
Timothy Wallace,2024-12-18,Martinique
Dr. Brian Hernandez,2025-01-08,American Samoa
Michael Horne,2025-01-08,Mauritania
Steven Vargas,2025-01-06,Grenada
Marcus Davis,2025-01-10,Guinea-Bissau
Jessica White,2024-11-27,Papua New Guinea
Patrick Cain,2024-12-20,Antigua and Barbuda
Tyrone Berry,2024-12-26,Maldives
Justin Wyatt,2024-11-23,Saudi Arabia
Christina Miller,2025-01-30,Germany
Michael Glass,2024-12-31,Marshall Islands
Jason Green,2024-11-22,Peru
Katie Salazar,2024-12-15,Czech Republic
Taylor Shannon,2025-01-05,Estonia
Kelsey Johnson,2024-11-26,Hungary
Melissa Stephenson,2024-11-27,Papua New Guinea
Mark Murray,2024-11-23,Colombia
Natalie Ford,2025-02-15,Pakistan
Kristi Shaw,2024-12-10,Reunion
Stephen Jones,2025-02-15,Kuwait
Richard Howard,2025-01-12,Greece
Christopher Skinner,2024-12-08,Jamaica
Joel Reid,2024-12-27,Palestinian Territory
Brittney Zamora,2025-01-19,Estonia
Angel Johns,2025-02-11,Norfolk Island
Daniel Hunt,2025-01-06,Sierra Leone
Melissa Rivers,2025-01-10,Croatia
Tiffany Petty,2024-12-16,Denmark
Samantha Moore,2025-01-23,French Southern Territories
Julie Walker,2025-01-24,Philippines
Luis Davis,2024-11-28,Samoa
Robert Madden,2024-12-16,Aruba
Maria Long,2024-12-01,Greece
David Walker,2025-01-31,Congo
Heather Estrada,2025-01-12,Wallis and Futuna
Angela Jackson,2024-12-09,Hong Kong
William Hudson,2025-01-11,Micronesia
Jeffery Ballard,2025-02-04,Togo
David Jackson,2025-01-11,United Kingdom
Jesse Wallace,2025-02-03,Uganda
Briana Gomez,2024-11-26,Israel
Richard Mueller,2025-02-19,Canada
Ashley Mcbride,2025-01-03,Thailand
Scott Johnson,2024-12-27,Haiti
Kristen Shaw,2025-01-02,Sierra Leone
Amy Myers,2025-01-01,Armenia
Alice Brown,2025-02-07,Comoros
Dylan Harvey,2024-12-09,Ghana
Aaron Franco,2024-11-28,Saint Helena
Dennis Williams,2024-12-15,Albania
Glen James,2025-01-26,India
Joshua Pittman,2025-02-02,Venezuela
Sarah Jackson,2024-12-31,Netherlands
Juan Silva,2025-01-16,Singapore
Erica Bell,2025-02-16,Guatemala
Valerie Reyes,2024-12-15,Gambia
Kaitlin Ingram,2025-01-11,Togo
Richard Delgado,2024-12-23,Nigeria
Steven Carson,2025-01-19,Niger
Pamela Williams,2025-01-01,Turkey
Jennifer Johnson,2024-12-02,Yemen
Matthew Levine,2025-02-18,Bahrain
Brian Gordon,2025-02-01,French Southern Territories
Shane Park,2025-02-17,Iceland
Christopher Montgomery,2025-01-24,Central African Republic
Tracey Wright,2024-12-14,Slovakia (Slovak Republic)
